task,condition,n,successes,success_rate,ci95_low,ci95_high,cost_median_usd,cost_min_usd,cost_max_usd,tokens_median,tool_calls_median,assistant_turns_median,wall_seconds_median,ran_check_script,read_docs_runs,skill_file_read,bash_search_runs,grep_tool_runs,tool_errors_total,transport_failures_total,tampered_runs,timeouts,infra_retried,infra_pending,failure_steps
t2_add_endpoint,thinking_off,5,5,1.0,0.566,1.0,0.005985,0.005612,0.009744,55105,30,9,53.14,5,0,0,5,0,6,0,0,0,0,0,{}
t2_add_endpoint,thinking_low,5,5,1.0,0.566,1.0,0.008031,0.007428,0.008916,66160,24,11,59.21,5,0,0,5,0,4,0,0,0,0,0,{}
t2_add_endpoint,thinking_high,5,5,1.0,0.566,1.0,0.009077,0.007208,0.009247,79014,34,11,114.81,5,2,0,5,0,1,3,0,0,0,0,{}
t5_migration,thinking_off,5,5,1.0,0.566,1.0,0.00847,0.006849,0.011749,119698,33,12,59.96,5,5,0,5,0,4,2,0,0,0,0,{}
t5_migration,thinking_low,5,5,1.0,0.566,1.0,0.005679,0.004095,0.007364,39798,20,8,35.79,5,5,0,5,0,2,0,0,0,0,0,{}
t5_migration,thinking_high,5,5,1.0,0.566,1.0,0.009439,0.007547,0.0108,94544,35,11,68.42,5,5,0,5,0,1,0,0,0,0,0,{}
