task,condition,n,successes,success_rate,ci95_low,ci95_high,cost_median_usd,cost_min_usd,cost_max_usd,tokens_median,tool_calls_median,assistant_turns_median,wall_seconds_median,ran_check_script,read_docs_runs,skill_file_read,bash_search_runs,grep_tool_runs,tool_errors_total,transport_failures_total,tampered_runs,timeouts,infra_retried,infra_pending,failure_steps
t4_split_constant,default_tools,5,5,1.0,0.566,1.0,0.006954,0.004296,0.008883,61261,23,10,57.32,5,0,0,5,0,7,2,0,0,0,0,{}
t4_split_constant,search_tools,5,5,1.0,0.566,1.0,0.005882,0.004984,0.007946,60664,24,9,55.72,5,0,0,0,5,5,2,0,0,0,0,{}
