task,condition,n,successes,success_rate,ci95_low,ci95_high,cost_median_usd,cost_min_usd,cost_max_usd,tokens_median,tool_calls_median,assistant_turns_median,wall_seconds_median,ran_check_script,read_docs_runs,skill_file_read,bash_search_runs,grep_tool_runs,tool_errors_total,transport_failures_total,tampered_runs,timeouts,infra_retried,infra_pending,failure_steps
t5_migration,skill_off,5,5,1.0,0.566,1.0,0.00943,0.006557,0.010341,90108,31,12,88.62,5,5,0,5,0,3,1,0,0,0,0,{}
t5_migration,skill_on,5,5,1.0,0.566,1.0,0.004489,0.003343,0.006322,42915,16,10,34.44,5,1,5,4,0,0,1,0,0,0,0,{}
